ticker,avg_close,class
AAPL,270.6679178873698,Medium Value
AMZN,233.21300048828124,Medium Value
GOOGL,286.1816680908203,Medium Value
MSFT,504.52960001627605,High Value
TSLA,432.03733520507814,High Value
